Gender;Height;Weight
Male;699.384.752.593.112;170.175.853.813.004
Male;647.398.154.829.922;169.654.054.121.188
Male;693.084.028.803.936;198.378.693.643.572
Male;688.384.628.598.724;179.907.716.915.983
Male;619.373.232.676.829;147.263.686.501.559
Male;685.933.355.351.181;176.984.251.121.287
Male;652.185.755.780.772;185.467.788.373.205
Male;643.336.481.069.845;17.749.380.233.889
Male;687.489.067.017.398;169.827.477.419.625
Male;724.896.554.004.081;198.581.698.249.799
Male;672.339.309.182.551;203.350.339.274.846
Male;67.263.604.843.261;193.217.672.687.431
Male;651.185.042.831.735;178.134.945.178.843
Male;662.628.200.381.632;162.779.583.404.690
Male;677.016.796.596.273;159.286.510.598.869
Male;65.530.695.966.695;172.114.311.951.227
Male;698.689.698.092.041;201.837.042.594.883
Male;68.481.875.364.733;170.352.329.550.626
Male;722.139.633.457.195;205.389.760.708.631
Male;681.795.326.940.723;169.787.768.075.943
Male;719.812.065.428.705;200.437.310.528.735
Male;660.651.367.327.304;178.588.954.037.204
Male;666.561.641.698.185;168.014.029.738.329
Male;675.994.241.952.902;177.766.425.839.946
Male;68.245.944.093.831;193.277.623.999.542
Male;64.808.621.440.717;162.379.540.639.612
Male;674.922.182.698.406;183.383.824.391.458
Male;681.807.307.068.654;181.056.095.285.359
Male;69.553.384.902.902;210.871.798.957.101
Male;664.022.496.683.603;165.568.499.073.011
Male;665.921.571.146.877;196.148.449.846.229
Male;719.358.865.828.482;202.046.425.151.919
Male;682.870.417.278.818;170.413.602.496.365
Male;699.554.511.951.638;201.948.085.296.608
Male;718.511.291.454.027;193.386.984.552.842
Male;657.554.986.406.737;179.855.689.615.225
Male;670.318.520.789.828;156.489.934.998.191
Male;767.098.348.578.592;235.035.418.820.022
Male;725.711.213.712.958;230.560.534.959.742
Male;697.288.048.973.671;203.895.654.986.365
Male;72.799.224.004.586;218.216.396.639.014
Male;725.393.540.719.418;222.667.177.921.523
Male;722.947.433.844.169;208.474.865.890.573
Male;672.533.248.158.638;180.779.780.013.772
Male;759.444.603.760.016;231.924.748.509.110
Male;663.162.319.187.446;170.593.858.104.457
Male;711.560.534.900.436;188.271.456.288.347
Male;711.922.022.869.477;196.061.529.163.376
Male;721.975.120.071.642;214.603.584.170.431
Male;751.408.214.339.315;224.124.271.329.560
Male;644.115.293.597.211;158.579.397.323.387
Male;647.344.243.580.774;166.501.114.745.286
Male;634.145.871.379.546;160.140.615.622.405
Male;678.486.652.335.686;176.172.634.254.583
Male;659.317.848.288;174.485.294.666.451
Male;709.665.504.363.426;193.906.498.798.923
Male;675.807.472.772.935;186.991.606.706.801
Male;68.589.270.437.901;173.595.796.099.507
Male;703.247.534.441.504;193.346.560.303.991
Male;723.944.804.051.075;208.436.509.038.226
Male;708.208.567.145.256;206.032.977.800.797
Male;659.033.012.610.258;17.257.523.095.707
Male;747.953.750.218.274;232.635.402.847.360
Male;676.809.190.342.573;17.724.014.549.544
Male;671.559.627.687.305;175.646.690.214.202
Male;717.748.412.248.401;212.626.102.288.605
Male;646.652.319.449.664;166.969.204.009.677
Male;681.227.683.623.759;196.414.415.275.124
Male;66.786.927.239.528;165.431.242.225.646
Male;66.805.849.836.748;176.565.818.557.689
Male;678.860.137.980.274;174.652.034.715.810
Male;691.735.769.192.432;195.237.529.301.091
Male;702.249.233.263.794;205.684.438.396.274
Male;648.557.991.775.539;158.341.442.360.480
Male;678.210.932.715.426;169.081.008.273.884
Male;634.402.474.670.865;135.655.875.865.835
Male;718.484.348.479.039;218.157.469.450.706
Male;667.280.736.470.863;155.899.541.329.016
Male;719.683.056.520.603;201.528.177.430.467
Male;760.213.474.760.963;235.926.060.648.678
Male;714.761.012.826.014;195.392.617.577.504
Male;673.698.086.448.686;176.636.163.567.362
Male;705.552.437.595.499;198.460.248.600.108
Male;698.671.012.814.472;185.716.910.023.673
Male;679.475.700.421.625;177.347.779.818.472
Male;74.104.558.863.713;215.759.703.523.821
Male;69.167.836.299.535;187.022.420.301.570
Male;66.557.228.572.704;171.587.884.316.854
Male;667.016.049.901.078;172.839.809.078.093
Male;672.460.649.543.824;168.280.286.893.893
Male;690.513.854.849.974;163.820.488.927.750
Male;706.727.471.767.308;190.023.434.180.521
Male;654.989.951.214.088;156.869.951.668.729
Male;651.872.208.535.622;172.606.482.559.614
Male;675.681.430.060.826;169.063.982.994.918
Male;738.153.856.882.339;231.374.508.117.238
Male;71.606.564.208.448;207.250.476.751.691
Male;67.724.749.235.945;172.152.772.178.008
Male;68.231.131.952.185;199.827.758.022.834
Male;659.294.217.100.738;168.090.412.215.803
Male;715.484.957.096.636;197.819.614.833.288
Male;691.643.811.220.365;196.892.315.040.706
Male;685.976.593.239.588;180.221.780.102.342
Male;710.575.108.857.852;189.134.012.435.934
Male;636.440.595.814.991;158.422.717.319.974
Male;711.824.553.956.369;208.922.682.655.891
Male;661.286.731.698.491;187.141.119.453.372
Male;650.573.731.150.978;157.582.431.535.246
Male;680.913.743.588.464;181.644.444.983.884
Male;70.993.143.899.047;204.746.678.174.754
Male;742.211.748.776.249;231.130.189.759.308
Male;693.271.181.795.885;186.258.429.614.423
Male;649.313.421.940.842;181.093.869.638.880
Male;683.468.423.145.436;198.920.979.667.801
Male;709.291.250.844.694;203.370.463.215.939
Male;614.778.092.015.939;161.028.752.141.872
Male;684.908.127.185.185;189.806.681.842.181
Male;720.498.898.708.186;200.202.828.506.602
Male;725.216.670.257.767;221.862.650.308.484
Male;71.233.911.393.331;214.060.148.220.865
Male;722.591.151.862.599;201.701.421.617.410
Male;675.650.399.045.651;187.187.093.632.233
Male;7.226.760.699.498;196.527.466.895.855
Male;626.002.479.975.529;151.720.703.729.313
Male;662.364.372.917.754;167.297.530.251.137
Male;696.504.374.123.688;198.843.695.964.623
Male;692.859.214.061.721;178.789.547.981.921
Male;707.252.787.373.505;193.539.252.115.985
Male;688.286.149.599.904;197.737.905.022.318
Male;660.144.282.335.004;184.461.811.520.982
Male;664.148.820.603.895;155.194.771.686.925
Male;666.156.243.917.126;160.991.989.871.194
Male;680.348.217.821.036;189.084.461.735.075
Male;705.023.980.440.946;172.985.777.146.208
Male;691.577.294.930.868;195.895.256.857.188
Male;707.950.226.136.223;215.746.455.305.230
Male;651.943.771.233.415;166.707.373.059.357
Male;747.857.143.190.925;239.464.342.902.696
Male;710.669.062.761.598;184.279.245.833.050
Male;69.334.197.785.954;199.983.890.906.512
Male;698.992.039.506.227;191.412.231.132.701
Male;644.251.937.917.821;169.109.401.417.791
Male;6.785.213.069.861;194.744.522.494.038
Male;67.549.069.488.044;183.266.533.117.893
Male;747.674.468.449.337;210.369.908.709.756
Male;714.189.459.863.648;198.042.483.889.936
Male;671.203.443.862.066;172.664.090.375.104
Male;698.595.879.120.267;197.070.856.157.865
Male;684.308.133.914.105;190.505.810.039.573
Male;679.334.826.070.233;184.555.483.105.293
Male;684.953.431.552.723;179.929.816.647.941
Male;652.441.434.106.539;159.503.219.765.390
Male;7.018.535.204.699;197.884.507.071.155
Male;711.041.331.645.307;217.269.605.198.307
Male;684.475.785.430.627;187.907.425.986.628
Male;654.205.768.240.508;176.861.684.237.851
Male;677.007.881.137.183;185.148.202.101.777
Male;742.230.630.621.199;223.308.040.304.474
Male;711.672.458.708.534;206.942.981.776.074
Male;672.307.718.899.502;171.016.940.600.979
Male;67.880.559.193.661;175.222.847.965.396
Male;673.763.754.684.836;173.310.395.551.927
Male;687.612.469.290.256;181.125.973.501.963
Male;717.052.725.009.646;202.609.008.338.003
Male;693.809.947.926.619;199.850.920.048.803
Male;737.165.276.342.286;223.514.722.344.292
Male;694.533.762.078.207;219.261.706.666.844
Male;707.862.898.094.215;211.216.080.923.481
Male;717.684.637.369.012;200.798.982.967.421
Male;693.434.539.586.165;208.809.775.337.563
Male;652.860.255.086.334;161.420.081.658.509
Male;709.218.444.138.077;207.835.944.561.795
Male;685.966.626.863.791;180.831.237.755.497
Male;686.037.964.328.568;176.815.476.209.732
Male;694.787.441.197.736;194.603.768.502.719
Male;659.308.962.149.966;163.008.431.653.289
Male;685.233.452.979.566;173.270.657.154.824
Male;739.291.241.262.215;215.620.035.427.178
Male;711.979.378.222.303;210.134.529.042.031
Male;665.565.868.729.681;185.042.324.084.993
Male;717.422.762.291.745;187.965.355.359.453
Male;697.448.293.316.538;188.181.124.848.229
Male;667.506.541.256.505;179.542.017.143.198
Male;696.924.222.571.513;211.718.428.961.730
Male;704.035.168.308.414;197.692.142.083.456
Male;690.197.361.098.685;186.287.991.990.979
Male;64.732.287.155.256;166.106.072.437.390
Male;709.980.744.408.969;188.811.769.976.897
Male;644.598.142.530.512;161.378.773.212.037
Male;69.749.522.583.002;193.476.258.831.235
Male;715.268.488.121.848;189.282.246.099.829
Male;68.327.915.863.972;207.784.924.645.001
Male;707.647.201.641.119;199.323.094.259.304
Male;714.190.496.341.516;209.858.256.604.748
Male;693.904.740.948.909;180.175.472.763.871
Male;72.001.732.217.799;196.214.414.481.383
Male;691.914.749.733.353;189.438.840.351.539
Male;661.663.632.831.791;165.514.607.433.147
Male;67.272.142.995.153;18.239.433.469.242
Male;709.158.354.035.361;189.557.637.460.086
Male;691.198.877.896.665;189.625.914.076.302
Male;67.409.025.871.346;170.191.325.429.211
Male;72.938.649.040.208;216.097.454.719.831
Male;704.909.286.959.958;177.067.774.350.773
Male;690.082.594.618.674;196.051.188.755.039
Male;667.621.099.176.273;167.700.496.231.312
Male;691.206.637.294.553;179.607.870.051.102
Male;731.262.671.878.997;220.661.405.093.753
Male;674.868.238.954.174;164.295.241.252.612
Male;6.495.507.833.495;156.544.786.349.540
Male;677.824.890.749.697;183.681.029.038.066
Male;67.662.398.796.047;170.305.493.490.476
Male;664.763.970.064.683;168.627.263.912.841
Male;729.870.702.010.434;209.637.974.489.395
Male;695.632.322.771.984;195.346.026.970.440
Male;710.035.601.394.697;194.322.601.360.166
Male;699.156.373.621.056;219.367.916.747.189
Male;71.697.141.788.046;205.161.748.286.445
Male;676.499.408.575.301;178.882.633.665.742
Male;682.955.545.645.253;181.724.931.465.833
Male;68.687.255.673.712;203.560.333.836.071
Male;689.157.716.453.463;165.155.898.683.434
Male;689.608.796.727.544;197.931.429.550.253
Male;672.472.352.041.876;173.284.033.013.291
Male;68.915.863.641.061;183.947.788.899.966
Male;658.385.445.036.175;139.534.046.940.100
Male;646.710.755.478.367;160.188.531.344.114
Male;662.958.977.236.134;163.604.002.191.910
Male;670.975.857.472.015;193.955.107.443.761
Male;66.998.289.732.799;189.893.342.494.401
Male;709.619.709.026.438;184.223.932.043.739
Male;684.208.722.048.485;190.795.542.169.576
Male;676.525.275.866.462;188.200.679.380.904
Male;756.201.931.582.543;226.207.779.869.446
Male;70.549.242.022.249;197.879.373.104.868
Male;688.908.389.093.416;19.051.348.690.364
Male;682.845.319.195.117;176.246.583.436.270
Male;649.950.782.592.052;177.727.094.498.411
Male;655.757.715.426.728;173.691.592.194.197
Male;693.060.882.402.712;210.463.687.540.605
Male;657.047.154.221.532;170.100.563.318.173
Male;678.039.910.102.957;173.459.891.805.983
Male;692.161.473.119.131;184.936.690.322.645
Male;68.015.006.008.896;194.286.945.947.274
Male;619.269.489.433.641;149.149.684.837.724
Male;672.663.627.155.588;1.924.707.695.606
Male;676.768.218.539.142;179.750.807.982.436
Male;699.709.036.159.667;202.863.293.032.098
Male;653.134.615.369.232;163.357.331.518.913
Male;719.060.054.405.707;217.027.714.643.657
Male;662.339.040.421.843;18.316.123.245.569
Male;65.814.942.824.229;166.583.610.507.509
Male;728.449.478.550.183;205.250.889.151.117
Male;709.494.434.526.129;189.703.088.823.966
Male;713.438.076.277.468;218.586.336.397.370
Male;710.556.641.579.506;203.139.433.025.567
Male;619.255.472.947.778;139.905.070.315.411
Male;687.624.575.579.021;196.293.805.874.861
Male;675.839.414.255.894;179.937.011.167.166
Male;673.616.946.688.862;164.145.922.397.398
Male;658.791.565.562.673;168.174.864.370.716
Male;686.947.621.511.413;189.742.541.903.603
Male;695.348.615.536.043;195.170.391.498.940
Male;666.346.908.282.865;190.467.958.779.164
Male;698.099.015.736.912;204.426.598.301.005
Male;686.798.736.853.237;196.151.622.823.601
Male;71.615.178.750.348;209.670.773.879.197
Male;696.897.953.335.489;190.933.400.489.868
Male;709.010.863.653.248;197.944.832.362.141
Male;68.005.813.992.332;18.678.033.784.958
Male;706.157.439.783.607;188.663.832.117.765
Male;715.711.941.575.576;176.376.642.766.115
Male;730.128.632.629.827;209.329.483.369.428
Male;60.748.117.867.457;136.167.865.724.177
Male;69.082.119.625.473;190.935.182.500.985
Male;693.387.376.279.613;191.445.654.280.964
Male;677.571.377.115.653;184.938.229.910.773
Male;760.270.818.630.512;232.313.470.969.478
Male;722.276.161.601.432;201.778.853.950.381
Male;689.210.413.450.252;188.328.807.061.518
Male;65.334.927.680.754;174.655.697.250.193
Male;65.932.403.451.767;183.943.338.755.166
Male;704.666.893.102.283;187.517.442.017.500
Male;73.181.043.621.139;213.847.452.872.237
Male;68.550.879.686.478;175.219.518.795.655
Male;685.294.082.502.857;169.544.805.445.436
Male;635.964.554.204.545;144.591.922.421.247
Male;671.442.412.277.953;175.679.190.176.701
Male;708.163.706.158.515;197.198.401.561.075
Male;73.530.284.807.779;222.925.916.699.257
Male;661.410.689.194.018;165.404.545.337.709
Male;679.068.497.483.934;170.417.231.213.329
Male;714.333.758.216.347;216.633.999.687.682
Male;671.126.797.980.262;173.707.504.236.685
Male;732.839.179.655.908;217.896.039.742.328
Male;636.725.831.540.933;161.013.145.838.894
Male;692.253.203.013.539;193.756.325.798.869
Male;696.701.240.248.717;177.119.160.725.399
Male;704.854.481.656.936;204.827.449.737.938
Male;690.046.778.666.841;176.731.892.478.922
Male;684.578.940.081.104;192.761.885.655.036
Male;66.024.733.782.518;166.961.020.473.440
Male;693.181.691.252.784;186.737.995.548.307
Male;690.777.405.646.964;188.506.178.710.684
Male;735.622.703.667.904;208.361.491.812.853
Male;660.876.888.866.475;161.495.814.307.993
Male;735.259.843.332.352;214.966.459.199.799
Male;696.790.602.156.639;205.133.435.498.665
Male;666.767.811.169.297;183.197.306.840.047
Male;729.616.654.677.117;208.895.044.285.857
Male;68.246.872.144.459;207.925.576.545.187
Male;719.566.258.887.157;210.663.827.812.062
Male;710.586.333.491.432;204.272.837.745.409
Male;669.769.499.482.511;195.198.730.107.264
Male;68.478.002.075.726;190.686.022.530.134
Male;712.844.413.912.849;199.635.326.578.537
Male;64.980.456.290.984;166.821.547.345.859
Male;667.618.838.734.058;178.797.508.975.099
Male;687.661.617.238.793;185.772.157.505.947
Male;689.925.435.671.764;193.754.990.936.111
Male;71.295.194.595.564;228.800.516.094.148
Male;690.494.784.004.474;192.349.701.712.414
Male;665.414.820.162.944;175.983.491.137.569
Male;685.155.234.451.208;176.141.239.163.871
Male;674.597.153.131.659;177.482.524.908.403
Male;713.573.824.126.824;201.760.776.882.651
Male;685.904.060.416.654;176.843.079.926.229
Male;69.736.086.706.944;185.524.260.351.598
Male;698.338.570.670.345;188.041.029.020.603
Male;724.105.857.637.391;189.384.438.292.527
Male;654.345.968.678.659;166.096.744.020.516
Male;662.676.567.702.434;170.250.178.653.613
Male;699.743.008.732.506;21.280.425.895.999
Male;712.091.942.237.274;19.614.550.620.845
Male;699.374.001.925.209;202.279.069.679.297
Male;713.860.221.929.526;201.332.006.891.009
Male;645.887.816.699.057;158.454.094.446.398
Male;687.929.844.158.731;174.489.486.264.089
Male;684.457.467.280.668;183.783.382.685.316
Male;692.015.781.220.676;188.103.506.112.668
Male;694.260.173.088.723;176.193.429.823.813
Male;696.062.252.013.619;194.200.711.875.856
Male;728.817.069.731.098;194.199.508.871.416
Male;621.783.312.217.775;145.898.842.373.806
Male;688.747.066.201.055;191.833.709.173.715
Male;710.800.835.585.909;209.853.553.640.725
Male;721.825.341.217.157;201.261.464.391.648
Male;720.627.549.780.187;208.781.853.387.475
Male;673.800.578.933.842;182.673.405.387.725
Male;679.346.345.330.211;166.435.068.826.956
Male;708.019.302.593.082;193.393.542.614.483
Male;655.491.212.718.992;178.448.179.734.226
Male;701.912.244.814.707;205.941.790.671.464
Male;717.789.953.682.703;199.209.842.441.218
Male;681.302.884.151.545;192.029.566.571.562
Male;683.594.825.628.257;175.260.864.429.376
Male;66.090.357.013.204;170.006.445.104.546
Male;715.801.231.387.686;205.347.596.206.115
Male;735.366.677.229.231;196.043.295.071.718
Male;711.155.318.413.304;208.145.256.645.714
Male;707.943.025.458.134;202.890.757.825.725
Male;717.290.604.846.774;188.595.023.951.021
Male;631.965.303.693.731;162.429.727.448.715
Male;681.011.134.090.994;182.852.399.097.347
Male;658.560.997.291.531;157.317.461.364.304
Male;683.464.565.013.792;178.675.992.067.492
Male;695.602.289.299.611;187.217.485.931.716
Male;687.283.040.728.389;171.620.966.570.458
Male;701.582.776.521.047;200.534.178.304.201
Male;689.233.366.538.642;193.927.360.410.157
Male;643.001.741.979.872;155.489.728.964.615
Male;704.556.330.557.961;192.527.904.959.489
Male;686.240.631.902.513;159.862.467.400.555
Male;696.647.517.445.683;17.625.927.439.784
Male;690.588.845.404.837;171.708.926.273.601
Male;672.269.862.252.501;181.709.618.932.242
Male;66.115.799.694.985;171.386.659.244.003
Male;68.617.387.345.682;179.132.024.597.883
Male;692.490.128.135.195;187.469.371.391.246
Male;696.419.061.835.922;182.004.522.302.487
Male;727.970.283.570.657;214.474.035.549.004
Male;750.439.950.721.537;208.526.426.975.474
Male;709.726.841.308.934;190.221.992.860.972
Male;743.880.124.251.986;21.714.379.049.327
Male;643.621.638.717.144;156.073.898.515.176
Male;713.270.010.663.305;206.385.191.144.764
Male;67.172.024.442.062;178.152.781.433.495
Male;744.016.718.853.099;228.838.395.801.115
Male;638.679.209.595.893;174.473.362.892.894
Male;68.885.991.766.866;16.421.490.258.191
Male;721.319.902.243.921;212.157.275.700.066
Male;68.403.726.169.279;206.014.939.808.132
Male;650.926.563.918.755;167.433.532.984.504
Male;69.229.679.115.924;195.218.639.696.094
Male;719.477.882.649.162;209.175.489.088.048
Male;674.629.906.554.446;182.301.285.584.692
Male;693.129.086.423.205;190.185.146.911.980
Male;637.310.481.676.985;160.344.903.874.399
Male;606.798.174.028.202;129.301.023.766.729
Male;706.633.230.772.118;195.626.319.057.537
Male;67.594.031.125.615;186.751.416.941.505
Male;746.495.078.833.149;227.500.645.068.307
Male;704.670.788.540.361;197.187.532.031.265
Male;719.440.105.192.761;2.095.562.827.193
Male;740.257.508.102.552;20.975.927.206.677
Male;70.782.228.162.223;220.436.786.379.453
Male;647.272.569.610.009;169.207.936.994.027
Male;683.830.240.801.838;185.845.616.779.891
Male;714.692.208.023.458;192.691.493.116.905
Male;669.444.537.375.838;177.026.087.781.898
Male;707.969.790.042.164;199.947.383.058.908
Male;652.924.347.799.135;168.710.290.250.236
Male;617.540.098.289.705;123.528.143.020.198
Male;624.806.713.089.603;160.242.238.208.749
Male;678.056.798.701.788;197.082.611.042.199
Male;695.259.942.797.687;161.970.937.553.318
Male;725.007.566.339.455;201.655.055.938.162
Male;704.852.947.444.441;194.786.198.325.054
Male;66.689.735.993.223;162.565.406.733.935
Male;7.129.191.758.372;175.810.967.713.132
Male;717.967.671.979.694;209.379.310.185.811
Male;730.563.442.505.026;2.044.603.316.173
Male;688.533.543.682.849;210.869.084.178.877
Male;66.045.443.857.521;169.326.284.191.826
Male;73.985.901.415.574;223.326.104.950.414
Male;692.516.178.781.137;192.946.891.078.924
Male;693.406.572.151.521;172.904.801.447.625
Male;70.976.264.966.752;191.572.153.555.511
Male;635.612.776.251.623;157.119.544.459.453
Male;697.701.509.519.637;182.795.494.321.816
Male;651.884.775.622.368;151.886.942.249.695
Male;69.978.940.819.921;193.341.082.818.018
Male;697.505.971.518.031;185.427.970.139.056
Male;711.714.311.524.347;195.382.310.760.510
Male;705.720.017.829.453;174.196.887.301.378
Male;656.510.895.191.431;164.649.813.939.991
Male;67.138.414.139.275;163.845.001.328.561
Male;659.180.869.418.123;174.719.958.105.635
Male;737.866.364.434.803;212.900.555.995.405
Male;677.372.513.405.283;172.794.260.611.103
Male;655.440.762.535.086;171.980.331.261.146
Male;712.139.125.656.884;195.923.416.498.401
Male;655.923.540.298.347;174.815.348.513.060
Male;656.675.544.806.922;174.566.855.841.687
Male;619.727.358.785.594;140.277.749.662.033
Male;738.999.386.863.723;215.559.703.251.912
Male;723.421.836.419.704;215.858.233.901.414
Male;703.116.943.408.726;184.243.860.348.496
Male;671.155.643.547.224;168.202.167.127.644
Male;659.324.817.643.713;151.384.618.198.034
Male;672.277.450.207.952;185.970.160.851.636
Male;701.143.436.293.898;203.241.731.802.719
Male;748.414.997.197.116;223.945.670.277.953
Male;645.273.026.254.953;148.472.185.853.494
